Year,Title,Origin,Director,Cast,Genre,Plot
2022,Reset,Chinese,Sun Molong,"Bai Jingting, Zhao Jinmai",Sci-Fi,A young college student and a game designer get trapped in a bizarre time loop after a deadly bus explosion and must work together to find the truth and stop the tragedy.
2024,The Spirealm,Chinese,Danny Pang,"Xia Zhiguang, Huang Junjie",Sci-Fi,A virtual reality game developer discovers a mysterious doorway leading to a world of twelve deadly game levels where failing means dying in reality.
2024,Escape from the Trilateral,Chinese,Lu Yang,"Lei Jiayin, Yang Mi",Sci-Fi,"In a dystopian city controlled by an advanced AI tribunal, citizens are selected to enter a series of multi-dimensional escape rooms where survival depends on breaking physical laws."
2018,Animal World,Chinese,Han Yan,"Li Yifeng, Michael Douglas",Sci-Fi,"A debt-ridden young man finds himself trapped aboard a mysterious cruise ship where he is forced to play a deadly, high-stakes game of rock-paper-scissors with international criminals."
2020,Missing Persons,Chinese,Mao Kunyu,"Ji Li, Lu Fangsheng",Sci-Fi,"After a bizarre car accident inside a mysterious valley, a group of survivors finds themselves trapped in a distorted time-space dimension where they must solve deadly puzzles to escape."
2023,Derailment,Chinese,Shen Yang,"Liu Haocun, Lin Yi",Sci-Fi,"A wealthy young woman suddenly wakes up in a parallel universe where she is a penniless working-class girl, only to discover she is part of a massive virtual reality mind-control experiment."
2024,My Demon,South Korean,Kim Jang-han,"Song Kang, Kim Yoo-jung",Fantasy Romance,A ruthless pitiless demon who temporarily loses his supernatural powers after his tattoo transfers to a cold chaotic heiress is forced to enter a contract marriage with her to protect his own survival.
2024,Death Game,South Korean,Ha Byung-hoon,"Seo In-guk, Park So-dam",Fantasy Romance,"A desperate man who insults Death is punished by being forced to experience life and death twelve times through different bodies, unless he can find a way to survive the impending doom."
2025,All Your Wishes Come True,South Korean,Ahn Gil-ho,"Kim Woo-bin, Suzy",Fantasy Romance,An overly emotional genie trapped inside a magic lamp is awakened by a cold and emotionless woman who is granted three life-altering wishes.
2019,Hotel Del Luna,South Korean,Oh Choong-hwan,"Lee Ji-eun, Yeo Jin-goo",Fantasy Romance,"A mysterious hotel that caters exclusively to dead souls before they depart to the afterlife is managed by an ancient, cursed woman and an elite human hotelier."
2016,Descendants of the Sun,South Korean,Lee Eung-bok,"Song Joong-ki, Song Hye-kyo",Romance Drama,A captain of the South Korean Special Forces units falls in love with a beautiful cardiothoracic surgeon amid a war-torn country and natural disasters.
2025,The Infiltrator,Chinese,Wuershan,"Zhou Xun, Wang Yibo",Period Drama,A noble young woman in ancient China hides her true identity and infiltrates a powerful corrupt clan to seek justice for her family's tragic downfall.
2019,Goodbye My Princess,Chinese,Li Mutge,"Chen Xingxu, Peng Xiaoran",Period Romance,A beautiful and free-spirited princess from a Western kingdom falls into a devastating and tragic love affair with an ambitious crown prince who destroys her entire clan.
2007,Transformers,American,Michael Bay,"Shia LaBeouf, Megan Fox",Sci-Fi Action,An ordinary teenager gets caught in the middle of a war between two factions of alien robotic lifeforms that can disguise themselves as everyday vehicles.
2026,Veil of Shadows,Chinese,Guo Jingmei,"Ju Jingyi, Zeng Shunxi",Fantasy Mystery,A young nine-tailed fox infiltrates a mysterious mansion to hunt a rogue demon and gets entangled in a series of heart-wrenching murder investigations and a battle between good and evil.
2024,A Quiet Place: Day One,American,Michael Sarnoski,"Lupita Nyong'o, Joseph Quinn",Sci-Fi Horror,"A young woman finds herself trapped in New York City during the terrifying first day of an invasion by blind, hyper-sensitive alien creatures that hunt humans by sound."
2024,In Blossom,Chinese,Zhong Qing,"Ju Jingyi, Liu Xueyi",Period Mystery,"A brilliant female magistrate with a scarred face has her appearance magically swapped with a wealthy lady right before her wedding, forcing her to solve her own attempted murder case."
2015,Inside Out,American,Pete Docter,"Amy Poehler, Phyllis Smith",Animation Fantasy,"A young girl struggles to adapt to her new life in a new city as her core personified emotions, Joy and Sadness, accidentally get lost inside the complex labyrinth of her mind."
2025,When Life Gives You Tangerines,South Korean,Kim Won-seok,"IU, Park Bo-gum",Romance Drama,"Two people born on Jeju Island in the 1950s navigate their youth, dreams, and a deeply emotional romance across different seasons of their lives."
2013,Miracle in Cell No. 7,South Korean,Lee Hwan-kyung,"Ryu Seung-ryong, Kal So-won",Melodrama,"A mentally challenged father wrongfully imprisoned for murder builds friendships with his hardened cellmates, who secretly smuggle his young daughter into the prison."
2022,My Girl 2037,South Korean,Mo Hong-jin,"Hong Ye-ji, Kim Ji-young",Drama,"A nineteen-year-old girl who dreams of becoming a civil servant gets involved in an accidental murder and is sent to prison under inmate number 2037, where her cellmates protect her."
2020,Pawn,South Korean,Kang Dae-gyu,"Sung Dong-il, Ha Ji-won",Drama,"Two debt collectors take a nine-year-old girl as collateral from an illegal immigrant mother, but they unexpectedly end up becoming her loving adoptive fathers."
2013,Hope,South Korean,Lee Joon-ik,"Sol Kyung-gu, Uhm Ji-won",Drama,"After an eight-year-old girl suffers a brutal and horrific physical assault on her way to school, her family fights through immense emotional trauma to heal and rebuild their lives."
2018,Violet Evergarden: The Movie,Japanese,Taichi Ishidate,"Yui Ishikawa, Daisuke Namikawa",Anime Fantasy,A former child soldier working as an Auto Memory Doll writes letters for clients to understand the true meaning of the final words spoken by her beloved mentor.
2023,As Long as We Both Shall Live,Japanese,Ayuko Tsukahara,"Ren Meguro, Mio Imada",Fantasy Romance,"A young noblewoman raised by an abusive family is married off to a notoriously cold and ruthless military commander, only to discover a warm and magical bond between them."
2023,Call Me Chihiro,Japanese,Rikiya Imaizumi,"Kasumi Arimura, Hana Toyoshima",Drama,"A cheerful and unapologetic former sex worker starts a new job at a small bento shop in a seaside town, bringing comfort and healing to the lonely souls she encounters."
2021,Rurouni Kenshin: The Beginning,Japanese,Keishi Otomo,"Takeru Satoh, Kasumi Arimura",Action Drama,A legendary and ruthless assassin known as the Hitokiri Battosai uncovers the tragic story behind his iconic scar and his fateful encounters during the end of the Shogunate.
2024,Fangs of Fortune,Chinese,Guo Jingming,"Neo Hou, Chen Duling",Fantasy Mystery,"During the Zhenlan era, a powerful demon leader who desires to die surrenders to the imperial court and joins a specialized task force to solve bizarre mythical murders and restore balance."
2024,Lovely Runner,South Korean,Yoon Jong-ho,"Byeon Woo-seok, Kim Hye-yoon",Fantasy Romance,"A devoted fan travels back in time to her high school years to save her favorite top star from a tragic fate, altering their destinies and unraveling a deep connection across timelines."
2016,Your Name,Japanese,Makoto Shinkai,"Ryunosuke Kamiki, Mone Kamishiraishi",Anime Fantasy,"Two strangers find themselves linked in a bizarre way when they suddenly switch bodies, but the connection becomes even more complicated when they decide to meet in person."
2024,Exhuma,South Korean,Jang Jae-hyun,"Choi Min-sik, Kim Go-eun",Mystery Horror,"A wealthy family in Los Angeles experiences a series of paranormal events and summons a pair of young, rising shamans to save their newborn baby, unraveling a dark ancestral grave secret."
2025,Mufasa: The Lion King,American,Barry Jenkins,"Aaron Pierre, Kelvin Harrison Jr.",Animation Adventure,"An orphaned lion cub named Mufasa is introduced to a sympathetic royal family, setting off an epic journey with a young prince to fulfill a grand destiny in the Pride Lands."
2025,Squid Game: Season 2,South Korean,Hwang Dong-hyuk,"Lee Jung-jae, Lee Byung-hun",Thriller Action,"Three years after winning Squid Game, Player 456 remains determined to find the people behind the deadly tournament and put an end to their cruel game."
2024,Queen of Tears,South Korean,Jang Young-woo,"Kim Soo-hyun, Kim Ji-won",Romance Drama,The queen of department stores and her small-town husband weather a marital crisis and discover a miraculous new beginning to their love story.
2023,The Last Wife,Vietnamese,Victor Vu,"Kaity Nguyen, Thuan Nguyen",Period Drama,"During the Nguyen Dynasty, the beautiful third wife of a wealthy local governor risks her life and social status when she accidentally reunites with her passionate childhood love."
2024,Mai,Vietnamese,Tran Thanh,"Phuong Anh Dao, Tuan Tran",Romance Drama,A resilient nearly-forty massager with a chaotic family background tries to overcome her deep psychological traumas after falling in love with a charming younger musician.
2023,The House of No Man,Vietnamese,Tran Thanh,"Le Giang, Uyen An, Song Luan",Comedy Drama,"The story revolves around the multi-generational family of Mrs. Nu, a strict crab noodle soup vendor who tightly controls the lives of her daughters, leading to deep emotional conflicts when her youngest daughter decides to rebel for love."
2026,Love in the Clouds,Chinese,Zhu Ruibin,"Hou Minghao, Lu Yuxiao",Fantasy Romance,"In a mythical realm, a cold-hearted female general pretending to be weak and a cunning, ruthless prince who hides behind a playful playboy persona cross paths in a dangerous political game, falling in love while investigating a dark martial arts conspiracy."
